symbol,shortName,sector,price,marketCap,volume
BRTX,"BioRestorative Therapies, Inc.",Healthcare,1.14,10118916,45873
BRZE,"Braze, Inc.",Technology,20.82,2336326656,2087626
BSAA,BEST SPAC I Acquisition Corp.,Financial Services,10.1901,75401640,12911
BSBK,Bogota Financial Corp.,Financial Services,8.45,109585488,5267
BSET,"Bassett Furniture Industries, I",Consumer Cyclical,15.8,137295408,18998
BSRR,Sierra Bancorp,Financial Services,35.41,481231552,52832
BSVN,Bank7 Corp.,Financial Services,44.44,420520416,12049
BSY,"Bentley Systems, Incorporated",Technology,35.12,10663518208,2143075
BTAI,"BioXcel Therapeutics, Inc.",Healthcare,1.59,34772492,599996
BTBD,"BT Brands, Inc.",Consumer Cyclical,1.33,8185783,40331
BTBT,"Bit Digital, Inc.",Financial Services,2.03,657059840,33378334
BTCS,BTCS Inc.,Financial Services,2.24,105614064,1199890
BTCT,BTC Digital Ltd.,Technology,1.37,13038256,98432
BTDR,Bitdeer Technologies Group,Technology,13.04,3030569472,7134780
BTM,Bitcoin Depot Inc.,Financial Services,1.02,77206048,1162742
BTMD,Biote Corp.,Healthcare,2.09,100009224,146116
BTOC,Armlogi Holding Corp.,Industrials,0.485,22039894,499309
BTOG,Bit Origin Limited,Financial Services,4.04,6018157,53987
BTQ,BTQ Technologies Corp.,Technology,3.345,468386752,3081570
BTSG,"BrightSpring Health Services, I",Healthcare,39.27,7082435072,1924181
BTTC,Black Titan Corp,Unknown,1.89,17173694,2213568
BULL,Webull Corporation,Technology,7.03,3527772416,15021660
BUSE,First Busey Corporation,Financial Services,24.65,2179282688,488409
BUUU,BUUU Group Limited,Industrials,11.49,191595744,62363
BVC,BitVentures Limited,Technology,8.78,1475040000,1239470
BVFL,"BV Financial, Inc.",Financial Services,19.12,170243104,18504
BVS,Bioventus Inc.,Healthcare,7.93,531123456,304331
BWAY,Brainsway Ltd.,Healthcare,23.38,464865824,91219
BWB,"Bridgewater Bancshares, Inc.",Financial Services,19.21,533268992,86450
BWEN,"Broadwind, Inc.",Industrials,3.0,69602960,289363
BWFG,"Bankwell Financial Group, Inc.",Financial Services,48.19,380698240,39481
BWIN,"The Baldwin Insurance Group, In",Financial Services,21.92,2604627968,1182437
BWMN,Bowman Consulting Group Ltd.,Industrials,34.83,605106112,136013
BYAH,Park Ha Biological Technology C,Consumer Defensive,0.0881,4911522,1878932
BYFC,Broadway Financial Corporation,Financial Services,8.18,75511064,7170
BYND,"Beyond Meat, Inc.",Consumer Defensive,0.7632,346164736,77845527
BYRN,"Byrna Technologies, Inc.",Industrials,13.71,311566816,415721
BYSI,"BeyondSpring, Inc.",Healthcare,1.54,63328372,261793
BZ,KANZHUN LIMITED - American Depo,Communication Services,18.52,8742514688,3129834
BZAI,"Blaize Holdings, Inc.",Technology,1.36,165978576,2458695
BZAIW,"Blaize Holdings, Inc. Warrants",,0.3675,5572292,0
BZFD,"BuzzFeed, Inc.",Communication Services,0.8804,32757810,430231
BZUN,Baozun Inc.,Consumer Cyclical,2.68,155427376,217224
CAAS,"China Automotive Systems, Inc.",Consumer Cyclical,4.43,133656208,35213
CABA,"Cabaletta Bio, Inc.",Healthcare,2.57,247401552,3159265
CABR,"Caring Brands, Inc.",Healthcare,0.8428,12420281,351798
CAC,Camden National Corporation,Financial Services,47.57,805089408,82624
CACC,Credit Acceptance Corporation,Financial Services,498.24,5496356352,137703
CADL,"Candel Therapeutics, Inc.",Healthcare,5.84,320606112,791303
CAEP,"Cantor Equity Partners III, Inc",Financial Services,10.23,358868384,284998
CAI,"Caris Life Sciences, Inc.",Healthcare,23.16,6534522368,2329836
CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,57.96,2888824064,1164870
CALC,"CalciMedica, Inc.",Healthcare,0.9,12968488,959257
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,83.53,3980542464,1166196
CAMP,CAMP4 THERAPEUTICS CORPORATION,Healthcare,3.7,191960208,168516
CAMT,Camtek Ltd.,Technology,146.53,6706129408,493357
CAN,Canaan Inc.,Technology,0.68,461280064,23980591
CAPN,Cayson Acquisition Corp,Financial Services,10.72,83937600,18240
CAPR,"Capricor Therapeutics, Inc.",Healthcare,21.89,1190800256,2860781
CAPS,Capstone Holding Corp.,Basic Materials,0.6,4983723,322445
CAPT,Captivision Inc.,Basic Materials,0.5785,18899924,3209614
CAR,"Avis Budget Group, Inc.",Industrials,114.99,4047302144,609047
CARE,"Carter Bankshares, Inc.",Financial Services,21.41,472883616,93747
CARG,"CarGurus, Inc.",Consumer Cyclical,32.4,3216030464,889365
CARL,"Carlsmed, Inc.",Healthcare,12.42,330283904,82265
CART,Maplebear Inc.,Consumer Cyclical,37.16,9789366272,5469101
CASH,"Pathward Financial, Inc.",Financial Services,90.29,2016988928,229349
CASI,"CASI Pharmaceuticals, Inc.",Healthcare,1.02,20959238,36573
CASS,"Cass Information Systems, Inc",Industrials,44.96,588269184,89950
CASY,"Caseys General Stores, Inc.",Consumer Cyclical,606.5,22481094656,308816
CATY,Cathay General Bancorp,Financial Services,51.18,3482114048,420877
CBAT,"CBAK Energy Technology, Inc.",Industrials,0.79,70030216,142200
CBC,"Central Bancompany, Inc.",Financial Services,24.1,5318024192,270423
CBFV,"CB Financial Services, Inc.",Financial Services,35.83,180458128,6434
CBIO,"Crescent Biopharma, Inc.",Healthcare,9.59,291984512,153460
CBK,"Commercial Bancgroup, Inc.",Financial Services,26.34,360804992,69103
